Property,Address,Area,Build Year,Price Range,Units,Developer,Marketing/Leasing Contact,Title,Email,Executive Contact,Executive Title,Executive Email,Outreach Stage,Has Address,Has Build Year,Has Price Range,Has Contact Email
250N10,"250 North 10th Street, Brooklyn, NY 11211",,2014,"$3,995-$8,595",234,TF Cornerstone,Nenad Jerzabek,Leasing Manager,nenad.jerzabek@tfc.com,Frederick Elghanayan; Jake Elghanayan; Jared Brown; Jeremy Shell; Sofia Estevez; Steve Gonzalez; Steve N. Gonzalez,Chairman,felghanayan@tfc.com; jelghanayan@tfc.com; jared.brown@tfc.com; jshell@tfc.com; sestevez@tfc.com; sgonzalez@tfc.com; sgonzalez@tfc.com,,Yes,Yes,Yes,Yes
261 Hudson,"261 Hudson Street, New York, NY 10013",,2017,"$4,600-$11,500",160,Related Companies,Jill Singer Graeber,Marketing Director,jsgraeber@related.com,,,,,Yes,Yes,Yes,Yes
300 Ashland Place,"300 Ashland Place, Brooklyn, NY 11217",,2017,"$3,500-$11,000",379,Two Trees Management,Allison Bevilaqua; Michaella Solar-March,Senior Director of Marketing; Chief Marketing Officer,abevilaqua@twotreesny.com; msolarmarch@twotreesny.com,,,,,Yes,Yes,Yes,Yes
300 West 136th Street,"300 West 136th Street, New York, NY 10030",Central Harlem,2025,"$3,150-$5,995",53,Empire Development Fund 2 LLC,Mike Jeneralczuk,Licensed RE Salesperson (Leasing),mike@jenermendoza.com,,,,,Yes,Yes,Yes,Yes
325 Kent Avenue,"325 Kent Avenue, Brooklyn, NY 11249",,2017,"$3,500-$8,000",522,Two Trees Management,Allison Bevilaqua; Michaella Solar-March,Senior Director of Marketing; Chief Marketing Officer,abevilaqua@twotreesny.com; msolarmarch@twotreesny.com,,,,,Yes,Yes,Yes,Yes
33 Bond Street,"33 Bond St, Brooklyn, NY 11201",,2017,"$2,800-$5,900",714,TF Cornerstone,Nenad Jerzabek,Leasing Manager,nenad.jerzabek@tfc.com,Frederick Elghanayan; Jake Elghanayan; Jared Brown; Jeremy Shell; Sofia Estevez; Steve Gonzalez; Steve N. Gonzalez,Chairman,felghanayan@tfc.com; jelghanayan@tfc.com; jared.brown@tfc.com; jshell@tfc.com; sestevez@tfc.com; sgonzalez@tfc.com; sgonzalez@tfc.com,,Yes,Yes,Yes,Yes
360 West 43rd Street,"360 West 43rd Street, New York, NY 10036",,2002,"$3,200-$6,300",256,The Brodsky Organization,Alexander Brodsky,Principal,abrodsky@brodskyorg.com,Dean Amro; Joe Porritt; Michelle Frucht; Rick Mason; Thomas Brodsky,"Director, Leasing and Marketing",damro@brodskyorg.com; jporritt@brodskyorg.com; mfrucht@brodskyorg.com; rmason@brodskyorg.com; tbrodsky@brodskyorg.com,,Yes,Yes,Yes,Yes
3Eleven,"311 11th Avenue, New York, NY 10001",,2023,"$4,700-$9,800",938,Douglaston Development,Graham Christensen,"VP, Market Rate Development",gchristensen@douglastondevelopment.com,Liz Oakley; Steven Charno,Chief Development Officer; President,scharno@douglastondevelopment.com,,Yes,Yes,Yes,Yes
420 Carroll,"420 Carroll Street, Brooklyn, NY 11215",,2024,"$3,750-$8,500",360,Domain Companies,Jason Hill,Marketing Director,jhill@thedomaincos.com,,,,,Yes,Yes,Yes,Yes
420 West 42nd Street,"420 West 42nd Street, New York, NY 10036",,2000,"$3,500-$8,000",210,The Brodsky Organization,Alexander Brodsky,Principal,abrodsky@brodskyorg.com,Dean Amro; Joe Porritt; Michelle Frucht; Rick Mason; Thomas Brodsky,"Director, Leasing and Marketing",damro@brodskyorg.com; jporritt@brodskyorg.com; mfrucht@brodskyorg.com; rmason@brodskyorg.com; tbrodsky@brodskyorg.com,,Yes,Yes,Yes,Yes
425 Summit Ave,"425 Summit Ave, Jersey City, NJ 07306",,2024,"$2,500-$6,000",390,Arden Group / Sequoia / Spitzer,Jackie Dalsimer,Dir. of Property Management,jackie.dalsimer@ardengroup.com,Craig A. Spencer,Chairman & CEO,cas@ardengroup.com,,Yes,Yes,Yes,Yes
43 Cottage,"43 Cottage Street, Jersey City, NJ 07306",Journal Square,1963,"$2,600",11,Namdar; Namdar / Sutton Equity,Julie Aguilar-Treulieb,Director Lease Administration,julie@namdarllc.com,Igal Namdar,President / CEO,igal@namdarllc.com,Won,Yes,Yes,Yes,Yes
433 West 21st Street,"433 West 21st Street, New York, NY 10011",,1930,"$3,500-$13,000",69,The Brodsky Organization,Alexander Brodsky,Principal,abrodsky@brodskyorg.com,Dean Amro; Joe Porritt; Michelle Frucht; Rick Mason; Thomas Brodsky,"Director, Leasing and Marketing",damro@brodskyorg.com; jporritt@brodskyorg.com; mfrucht@brodskyorg.com; rmason@brodskyorg.com; tbrodsky@brodskyorg.com,,Yes,Yes,Yes,Yes
45 Wall Street,"45 Wall Street, New York, NY 10005",,1997,"$3,300-$8,800",435,TF Cornerstone,Nenad Jerzabek,Leasing Manager,nenad.jerzabek@tfc.com,Frederick Elghanayan; Jake Elghanayan; Jared Brown; Jeremy Shell; Sofia Estevez; Steve Gonzalez; Steve N. Gonzalez,Chairman,felghanayan@tfc.com; jelghanayan@tfc.com; jared.brown@tfc.com; jshell@tfc.com; sestevez@tfc.com; sgonzalez@tfc.com; sgonzalez@tfc.com,,Yes,Yes,Yes,Yes
4540 Center Boulevard,"4540 Center Boulevard, Queens, NY 11109",,2012,"$3,350-$6,960",345,TF Cornerstone,Nenad Jerzabek,Leasing Manager,nenad.jerzabek@tfc.com,Frederick Elghanayan; Jake Elghanayan; Jared Brown; Jeremy Shell; Sofia Estevez; Steve Gonzalez; Steve N. Gonzalez,Chairman,felghanayan@tfc.com; jelghanayan@tfc.com; jared.brown@tfc.com; jshell@tfc.com; sestevez@tfc.com; sgonzalez@tfc.com; sgonzalez@tfc.com,,Yes,Yes,Yes,Yes
4545 Center Blvd,4545 Center Blvd,LIC,2013,"$3,235-$7,545",820,TF Cornerstone,Nenad Jerzabek,Leasing Manager,nenad.jerzabek@tfc.com,Frederick Elghanayan; Jake Elghanayan; Jared Brown; Jeremy Shell; Sofia Estevez; Steve Gonzalez; Steve N. Gonzalez,Chairman,felghanayan@tfc.com; jelghanayan@tfc.com; jared.brown@tfc.com; jshell@tfc.com; sestevez@tfc.com; sgonzalez@tfc.com; sgonzalez@tfc.com,,Yes,Yes,Yes,Yes
456 Washington St.,"456 Washington Street, New York, NY 10013",,2016,"$6,150-$20,600",84,Related Companies,Jill Singer Graeber,Marketing Director,jsgraeber@related.com,,,,,Yes,Yes,Yes,Yes
4610 Center Blvd,"4610 Center Boulevard, Long Island City, NY 11109",,2014,"$3,490-$6,990",584,TF Cornerstone,Nenad Jerzabek,Leasing Manager,nenad.jerzabek@tfc.com,Frederick Elghanayan; Jake Elghanayan; Jared Brown; Jeremy Shell; Sofia Estevez; Steve Gonzalez; Steve N. Gonzalez,Chairman,felghanayan@tfc.com; jelghanayan@tfc.com; jared.brown@tfc.com; jshell@tfc.com; sestevez@tfc.com; sgonzalez@tfc.com; sgonzalez@tfc.com,,Yes,Yes,Yes,Yes
4705 Center Boulevard,"47-05 Center Boulevard, Long Island City, NY 11109",,2007,"$3,500-$7,500",394,Rockrose Development,Justin Elghanayan,President,justin.elghanayan@rockrose.com,Alyssa Brennan; Anthony Grimaldi; Cassandra Andino; Henry Elghanayan; Linc LIC Leasing Office,SVP Residential Leasing and Marketing,alyssa.brennan@rockrose.com; anthony.grimaldi@rockrose.com; cassandra.andino@rockrose.com; henry.elghanayan@rockrose.com,,Yes,Yes,Yes,Yes
4720 Center Boulevard,"4720 Center Boulevard, Long Island City, NY 11109",,2006,"$3,300-$6,800",498,TF Cornerstone,Nenad Jerzabek,Leasing Manager,nenad.jerzabek@tfc.com,Frederick Elghanayan; Jake Elghanayan; Jared Brown; Jeremy Shell; Sofia Estevez; Steve Gonzalez; Steve N. Gonzalez,Chairman,felghanayan@tfc.com; jelghanayan@tfc.com; jared.brown@tfc.com; jshell@tfc.com; sestevez@tfc.com; sgonzalez@tfc.com; sgonzalez@tfc.com,,Yes,Yes,Yes,Yes
485 Marin Blvd,"485 Marin Blvd, Jersey City, NJ 07302",,2018,"$3,020-$7,264",397,KRE Group,Mary Cricco,Director of Residential Leasing,mcricco@thekregroup.com,Jonathan Kushner,President,jkushner@thekregroup.com,,Yes,Yes,Yes,Yes
499 President,"499 President Street, Brooklyn, NY 11215",Gowanus,2025,"$3,825-$6,570",350,The Brodsky Organization,Alexander Brodsky,Principal,abrodsky@brodskyorg.com,Dean Amro; Joe Porritt; Michelle Frucht; Rick Mason; Thomas Brodsky,"Director, Leasing and Marketing",damro@brodskyorg.com; jporritt@brodskyorg.com; mfrucht@brodskyorg.com; rmason@brodskyorg.com; tbrodsky@brodskyorg.com,,Yes,Yes,Yes,Yes
5 Pointz LIC,"22-44 Jackson Avenue, Long Island City, NY 11101",LIC,2021,"$4,366-$7,137",1120,G&M Realty,David Wolkoff; Joseph Buynitsky,Principal / Developer; Director of Leasing (MNS),dwolkoff@hrtld.com; jbuynitsky@mns.com,,,,,Yes,Yes,Yes,Yes
505 State Street,"505 State Street, Brooklyn, NY 11217",Downtown Brooklyn,2024,"$4,055-$11,995",440,Alloy; Alloy Development,Tara Mrowka,Sr. Dir. of Marketing & Sales,tmrowka@alloyllc.com,,,,,Yes,Yes,Yes,Yes
505 SUMMIT,"505 Summit Ave, Jersey City, NJ 07306",,2026,"$3,000-$6,500",605,Panepinto; Panepinto Properties,Gabrielle Panepinto Reiser,VP of Marketing & PR,gabrielle.reiser@panprop.com,,,,Won,Yes,Yes,Yes,Yes
505W37,"505 West 37th Street, New York, NY 10018",,2009,"$3,645-$6,840",835,TF Cornerstone,Nenad Jerzabek,Leasing Manager,nenad.jerzabek@tfc.com,Frederick Elghanayan; Jake Elghanayan; Jared Brown; Jeremy Shell; Sofia Estevez; Steve Gonzalez; Steve N. Gonzalez,Chairman,felghanayan@tfc.com; jelghanayan@tfc.com; jared.brown@tfc.com; jshell@tfc.com; sestevez@tfc.com; sgonzalez@tfc.com; sgonzalez@tfc.com,,Yes,Yes,Yes,Yes
5203 Center Boulevard,"52-03 Center Boulevard, Long Island City, NY 11101",,2021,"$5,500-$8,000",800,TF Cornerstone,Nenad Jerzabek,Leasing Manager,nenad.jerzabek@tfc.com,Frederick Elghanayan; Jake Elghanayan; Jared Brown; Jeremy Shell; Sofia Estevez; Steve Gonzalez; Steve N. Gonzalez,Chairman,felghanayan@tfc.com; jelghanayan@tfc.com; jared.brown@tfc.com; jshell@tfc.com; sestevez@tfc.com; sgonzalez@tfc.com; sgonzalez@tfc.com,,Yes,Yes,Yes,Yes
5241 Center Boulevard,"5241 Center Boulevard, Long Island City, NY 11101",,2021,"$4,250-$8,245",394,TF Cornerstone,Nenad Jerzabek,Leasing Manager,nenad.jerzabek@tfc.com,Frederick Elghanayan; Jake Elghanayan; Jared Brown; Jeremy Shell; Sofia Estevez; Steve Gonzalez; Steve N. Gonzalez,Chairman,felghanayan@tfc.com; jelghanayan@tfc.com; jared.brown@tfc.com; jshell@tfc.com; sestevez@tfc.com; sgonzalez@tfc.com; sgonzalez@tfc.com,,Yes,Yes,Yes,Yes
525 West 52nd,"525 West 52nd Street, New York, NY 10019",,2017,"$4,000-$8,000",392,Taconic Partners,Michael Adelstein,"VP, Commercial Asset Management",madelstein@tacon.com,Charles Bendit,Co-CEO,cbendit@taconicpartners.com,,Yes,Yes,Yes,Yes
55 Broad,"55 Broad Street, New York, NY 10004",,1967,"$4,100-$12,095",571,GFP Real Estate / Silverstein,Courtney L. Adham,Marketing Contact,cadham@gfpre.com,,,,,Yes,Yes,Yes,Yes
555TEN,"555 10th Ave, New York, NY 10018",,2016,"$4,200-$9,000",600,Extell Development,Tamar Rothenberg,Senior VP Marketing,trothenberg@extelldev.com,,,,,Yes,Yes,Yes,Yes
60 Water Street,"60 Water Street, Brooklyn, NY 11201",,2015,"$3,500-$9,000",290,Two Trees Management,Allison Bevilaqua; Michaella Solar-March,Senior Director of Marketing; Chief Marketing Officer,abevilaqua@twotreesny.com; msolarmarch@twotreesny.com,,,,,Yes,Yes,Yes,Yes
709 Newark (coming soon),"701 Newark Ave, Jersey City, NJ 07306",,2010,,360,Lions Group,Aaron Shirian,Managing Director,aaron.shirian@lionsgroupnyc.com,,,,,Yes,Yes,No,Yes
89 Murray,"89 Murray Street, New York, NY 10007",,2007,"$4,000-$10,000",163,Related Companies,Jill Singer Graeber,Marketing Director,jsgraeber@related.com,,,,,Yes,Yes,Yes,Yes
99 Fleet Place,"99 Fleet Place, Brooklyn, NY 11201",Downtown Brooklyn,2024,"$3,200-$8,040",294,The Jay Group,Raymond Werdane; Shimon Drummer,Leasing/Marketing Agent; Director of New Developments,info@bohemiarealty.com; shimon@jaygroupny.com,Jacob Kohn,Principal,info@jaygroupny.com,,Yes,Yes,Yes,Yes
Allora,"285 Broadway, Bayonne, NJ 07002",,,"$2,265-$2,595",128,Lior Darel / Df3 Capital,Lior Darel,Senior Managing Partner,liordarel@df3capital.com,,,,,Yes,No,Yes,Yes
Alora,"285 Broadway, Bayonne, NJ 07002",Bayonne,2025,"$2,100-$3,100",128,Lior Dorel; Lior Dorel / Df3 Capital,,,,,,,,Yes,Yes,Yes,No
Aqua House,"180 Water Street, New York, NY 10038",,2017,"$3,650-$9,895",574,Vanbarton Group,Frank Scaffa,"Dir. of Operations, PM & Construction (East Coast)",fscaffa@vanbartongroup.com,,,,,Yes,Yes,Yes,Yes
Archer House,"148-37 88th Avenue, Jamaica, NY 11435",,2022,"$2,000-$4,000",109,ZD Jasper Realty,,,,Andover Property Management Leasing; General Inquiry; General Leasing; Hong Lihua; Jasper Wu; Susan Wu,General; Chief Operations Officer,info@zdjasper.com; leasing@andoverpm.com; lihua@andoverpm.com; jasper@zdjasper.com; west37@zdjasper.com,,Yes,Yes,Yes,Yes
ART WALK,"808 Pavonia Ave, Jersey City, NJ 07306",,,"$2,700+",1189,Panepinto; Panepinto Properties,Gabrielle Panepinto Reiser,VP of Marketing & PR,gabrielle.reiser@panprop.com,,,,Pitched,Yes,No,Yes,Yes
Art Walk Towers (Under Construction),"808-813 Pavonia Avenue, Jersey City, NJ 07306",,,,1189,Kushner Real Estate Group,Ira Bloom; Phone,Director of Commercial Leasing,ibloom@kushner.com,,,,,Yes,No,No,Yes
Astoria West,"30-77 Vernon Boulevard, Astoria, NY 11102",LIC,2022,"$2,567-$7,950",534,Cape Advisors,Hilary Peck,VP of Marketing and PR,hilary@capeadvisors.com,Astoria West Leasing Gallery; David Kronman; David Maundrell III; Jodi Stasse; Property-Specific Inquiries,Principal,dkronman@capeadvisors.com; dmaundrell@corcoran.com; jstasse@corcoran.com; astoriawest@corcoran.com,,Yes,Yes,Yes,Yes
AtlanticBK,"1057 Atlantic Avenue, Brooklyn, NY 11238",Bedford-Stuyvesant,2025,"$3,870-$6,810",343,Douglaston Development,Graham Christensen,"VP, Market Rate Development",gchristensen@douglastondevelopment.com,Liz Oakley; Steven Charno,Chief Development Officer; President,scharno@douglastondevelopment.com,,Yes,Yes,Yes,Yes
Avalon Riverview,"4-75 48th Avenue, Long Island City, NY 11109",,2006,"$3,200-$6,900",602,AvalonBay Communities,Kurt D. Conway,"SVP, Brand Strategy, Marketing & Revenue Mgmt",kurt_conway@avalonbay.com,,,,,Yes,Yes,Yes,Yes
Bisby at Newport,"30 Park Lane North, Jersey City, NJ 07310",,2024,"$3,040-$10,340",385,LeFrak,Arthur Kosmider,"Sr. Dir., Marketing & Resident Experience",akosmider@lefrak.com,,,,,Yes,Yes,Yes,Yes
Braddock Park West,"8601 Bergenline Ave, North Bergen, NJ 07047",,2025,"$2,150-$5,800",135,OMG Agency; Sanz Management,Ilana Schwartz,CEO,ilana@omg.re,,,,Won,Yes,Yes,Yes,Yes
Bridgeview Dumbo,"69 Adams Street, Brooklyn, NY 11201",DUMBO,2024,$3,225,Rabsky Group,Zelig Weiss,Director of Development,zelig@rabskygroup.com,,,,,Yes,Yes,Yes,Yes
Brooklyn Crossing,"18 Sixth Avenue, Brooklyn, NY 11217",,2022,"$3,450-$10,500",858,The Brodsky Organization,Alexander Brodsky,Principal,abrodsky@brodskyorg.com,Dean Amro; Joe Porritt; Michelle Frucht; Rick Mason; Thomas Brodsky,"Director, Leasing and Marketing",damro@brodskyorg.com; jporritt@brodskyorg.com; mfrucht@brodskyorg.com; rmason@brodskyorg.com; tbrodsky@brodskyorg.com,,Yes,Yes,Yes,Yes
Chelsea Centro,"200 West 26th Street, New York, NY 10001",,2001,"$4,345-$8,595",356,TF Cornerstone,Nenad Jerzabek,Leasing Manager,nenad.jerzabek@tfc.com,Frederick Elghanayan; Jake Elghanayan; Jared Brown; Jeremy Shell; Sofia Estevez; Steve Gonzalez; Steve N. Gonzalez,Chairman,felghanayan@tfc.com; jelghanayan@tfc.com; jared.brown@tfc.com; jshell@tfc.com; sestevez@tfc.com; sgonzalez@tfc.com; sgonzalez@tfc.com,,Yes,Yes,Yes,Yes
City Tower,"10 City Point, Brooklyn, NY 11201",,2016,"$3,500-$5,200",439,The Brodsky Organization,Alexander Brodsky,Principal,abrodsky@brodskyorg.com,Dean Amro; Joe Porritt; Michelle Frucht; Rick Mason; Thomas Brodsky,"Director, Leasing and Marketing",damro@brodskyorg.com; jporritt@brodskyorg.com; mfrucht@brodskyorg.com; rmason@brodskyorg.com; tbrodsky@brodskyorg.com,,Yes,Yes,Yes,Yes
CMPND [632 Newark],"632 Newark Avenue, Jersey City, NJ 07306",,2025,"$2,400-$4,062",574,Namdar,,,,,,,,Yes,Yes,Yes,No
Court House Apartments,"125 Court Street, Brooklyn, NY 11201",,2005,"$3,500-$7,700",321,Two Trees Management,Allison Bevilaqua; Michaella Solar-March,Senior Director of Marketing; Chief Marketing Officer,abevilaqua@twotreesny.com; msolarmarch@twotreesny.com,,,,,Yes,Yes,Yes,Yes
Dutch House,"37-05 30th Street, Long Island City, NY 11101",,2022,"$3,000-$5,870",186,Slate Property Group,,,,,,,,Yes,Yes,Yes,No
DWTN,"67 Prince Street, Brooklyn, NY 11201",Downtown Brooklyn,2026,"$3,489-$6,710",473,Brooklyn Red Sauce LLC; MADDD Equities / Joy Construction,Eli S. Weiss,Authorized Signatory,eli@joycon1st.com,,,,,Yes,Yes,Yes,Yes
Eagle Lofts Collection,"43-22 Queens Street, Long Island City, NY 11101",,2022,"$3,374-$7,413",790,Rockrose Development,Justin Elghanayan,President,justin.elghanayan@rockrose.com,Alyssa Brennan; Anthony Grimaldi; Cassandra Andino; Henry Elghanayan; Linc LIC Leasing Office,SVP Residential Leasing and Marketing,alyssa.brennan@rockrose.com; anthony.grimaldi@rockrose.com; cassandra.andino@rockrose.com; henry.elghanayan@rockrose.com,,Yes,Yes,Yes,Yes
East Light + 99 Hudson,"99 Hudson Street, Jersey City, NJ 07302",,2020,"$4,550-$6,800",781,"China Overseas America (COA); COA 99 HUDSON, LLC",Jake Lewis; Megha Moza,Director of Sales Marketing; Sales Agent,jake.lewis@cohl.com; megha.moza@prominentproperties.com,,,,,Yes,Yes,Yes,Yes
Eastchester Heights,"3480 Seymour Ave, Bronx, NY 10469",,1935,"$1,475-$2,100+",1416,Taconic Partners,Michael Adelstein,"VP, Commercial Asset Management",madelstein@tacon.com,Charles Bendit,Co-CEO,cbendit@taconicpartners.com,,Yes,Yes,Yes,Yes
Eleven33,"1133 Manhattan Avenue, Brooklyn, NY 11222",,2014,"$4,000-$7,000",210,Domain Companies,Jason Hill,Marketing Director,jhill@thedomaincos.com,,,,,Yes,Yes,Yes,Yes
Ellipse at Newport,"25 Park Lane South, Jersey City, NJ 07310",,2017,"$3,200-$8,000",381,LeFrak,Arthur Kosmider,"Sr. Dir., Marketing & Resident Experience",akosmider@lefrak.com,,,,,Yes,Yes,Yes,Yes
Enclave at the Cathedral,"400 West 113th Street, New York, NY 10025",,2016,"$3,741-$8,667",430,The Brodsky Organization,Alexander Brodsky,Principal,abrodsky@brodskyorg.com,Dean Amro; Joe Porritt; Michelle Frucht; Rick Mason; Thomas Brodsky,"Director, Leasing and Marketing",damro@brodskyorg.com; jporritt@brodskyorg.com; mfrucht@brodskyorg.com; rmason@brodskyorg.com; tbrodsky@brodskyorg.com,,Yes,Yes,Yes,Yes
Essex Crossing (Coming soon),"115 Delancey Street, New York, NY 10002",,2024,,1079,LMXD,Bob Faith,"Founder, Chairman & CEO",bob@greystar.com,General Leasing; Lisa Gomez; Ron Moelis; Sarah Byrne; Scott Hall,Director of Communications + Marketing,leasing@ccmanagers.com; lgomez@lmdevpartners.com; rmoelis@lmdevpartners.com; sbyrne@lmdevpartners.com; shall@lmdevpartners.com,,Yes,Yes,No,Yes
