"笔记标题","笔记文案","点赞数"
"🇨🇭瑞士航空头等舱｜GVA - JFK","从维也纳回美国时在日内瓦转机 终于打卡了心念已久的瑞士航空头等舱 瑞航在 GVA 和 ZRH 针对部分航线的 HON 会员和头等舱旅客提供 limo service 车队最近也从奔驰 S 级换成了 BMW i7—不过飞美国的航线并不在内 在 GVA T1，First Class Lounge 和 Senator Lounge 是在一起，环境优雅 人少安静 ，但和老大哥汉莎在FRA 的 First Class Terminal 相比还是差了一截。这里虽然有专人帮忙做 document check，but everything else is on your own 地面服务算是中规中矩，但一登机就被客舱的设计惊艳到了 两舱木质纹理凸显细腻质感 和休息室风格高度呼应。洗漱包和睡衣与 Zimmerli 合作，洗漱包是我飞过这么多两舱里最大的一个，反而显得里面的内容有点空[笑哭R] 头等舱的餐食与米其林一星餐厅 Cuntitt 合作。我点了羊排，西餐对我来说味道一直差不多 但是瑞士气泡酒挺好喝的。头等舱的服务自然不用多说 客舱空间巨大 睡起来也很舒服 八个小时的飞行时间真的过得超级快 落地后精神很好 时差倒的也很顺利 P.S: 老白男真的是头等舱体验的重要一部分 旁边的老爷爷一把年纪手都在抖了 还在做slides[扯脸H] P.P.S：JFK海关还是一如既往的人多 排队的全都是欧洲旅客 排了大概一个小时 过关只用30s 亲测H1B approve后出境 只要10.1之前回来就没有任何问题 #北美打工人[话题]# #旅行[话题]# #飞行[话题]# #日内瓦[话题]# #纽约[话题]# #瑞士航空[话题]# #头等舱[话题]#","106"
"New York City🇺🇸","#留学生[话题]# #纽约[话题]# #190[话题]# #霸总[话题]# #海外生活[话题]# #拍点不一样的[话题]# #氛围感[话题]# #哥伦比亚大学[话题]#","155"
"纽约使我忙碌","Packed week before flying to california for the holidays @喧冬 visited and i cooked slow roasted short ribs with a burrata salad. And boiled dumplings incase we felt like being fat that day Tried fashion modeling for the first time, still have lots to learn and work on but was well worth the experience Happy i got to see it snow in NYC before i left for the bay, but at least i can enjoy a bit of warmer weather now #nyc[话题]# #纽约[话题]# #纽约周末[话题]# #纽约生活[话题]# #abc[话题]# #模特[话题]# #穿搭[话题]# #设计[话题]# #做饭[话题]# #圣诞节[话题]#","931"
"沉浸式体验阿提哈德航空三居室：空中官邸","从来没剪过vlog 这次为了更完整的记录Etihad The Residence on A380还特地买了个Insta360 Ultra Go[捂脸R] 最近两周基本天天都在天上飞 素材太多了 还是低估了自己的懒惰程度 随便剪了剪先发出来 非常粗糙 求别喷🙏 plog稍后会发出来（希望不鸽 虽然已经飞完半个月了 剪片子的时候还是被the residence震撼到了 民航界绝无仅有的体验 祝大家起落平安 #vlog[话题]# #飞行日记[话题]# #头等舱[话题]# #阿提哈德[话题]# #etihad[话题]# #飞友[话题]# #北美打工人[话题]# #飞行[话题]# #a380[话题]# #航空[话题]#","223"
"万米高空双人床+浴室！阿提哈德空中官邸","✈️ ETIHAD FIRST CLASS THE RESIDENCE on A380 🇦🇪EY022 | 多伦多皮尔逊 - 阿布扎比扎耶德 双层客机A380 + 不差钱的中东土豪航司 诞生了民航界绝无仅有的头等舱体验：空中官邸 这个名字加上@阿提哈德航空 Etihad Airways 的常旅客计划ETIHAD GUEST 真的给人一种要住进精品酒店的感觉 空中官邸不单独售票 需在购买头等舱之后选购升级 我这次搭乘的YYZ - AUH是空中官邸最长航线近13小时。预定之后第二天就要etihad concierge打电话来告知the residence乘客的权益 之后全程可通过Whatsapp联系 包括预定接送机 机场和海关meet and greet 餐食预定等等 我提前一天入住多伦多柏悦 起飞当天送机服务由blacklane提供 阿提哈德的外站地面服务属实一般 只有专门的值机柜台并没有直接区 更别提专属安检和登机通道了 休息室是pp卡都能进的plaza premium lounge 只不过单独划出来的一小片区域留给头等旅客 preboarding这部分可以看我之前发的视频 机上体验还是非常好的 独自坐拥一个客厅 一个可以洗澡的卫生间和完全私密配有双人床的卧室 放心大胆mile high club[吃瓜R] 餐食也是上乘水准 羊排饭和鱼都很好吃 就餐之后美美洗个澡就可以睡觉了 阿提哈德空中官邸的PJ是和阿玛尼合作款 是我目前为止穿过最舒服的 落地后获准进入A380驾驶舱 也被邀请在机长位置合影 副机长说你是VIP可以多给你拍几张照片[笑哭R] 出机舱后也有专人引导至Etihad First Class departure lounge。空中官邸乘客也享有全阿联酋境内免费接机的服务 但我比较懒就在lounge里等待转机了 连spa都没做[哭惹R] 这次外站出发体验还是不太完整 希望下次有机会从AUH飞弥补一下YYZ拉垮地面服务带来的创伤[再见R] #飞行日记[话题]# #北美打工人[话题]# #阿联酋[话题]# #阿布扎比[话题]# #多伦多[话题]# #头等舱[话题]# #商务舱[话题]# #a380[话题]# #飞行[话题]#","175"
"Suzhou | 🌰苏州丽思卡尔顿套房","入住之前看到苏州丽思的风评很两极分化 但实际体验真的很好呀！预定之后马上用了升房券 但是提前一天被decline了 没想到入住的时候直接给升了套 一个人住正好 这操作虽然不太懂但是可以多来几次[吃瓜R] 苏栗这种性冷淡设计风格非常对我胃口 从大堂就开始拍拍拍 酒店位置也不错 入住当天客人不多 对面的万象城还在 装修 想必开业后能增加一波流量 北美留子回国真的很喜欢住酒店 一边泡澡一边喝阿嬷手作的感觉谁懂[哭惹R] @苏州丽思卡尔顿酒店 #万豪[话题]# #苏州[话题]# #丽思卡尔顿[话题]# #北美打工人[话题]# #酒店[话题]#","47"
"MUC 汉莎T2的休息室给我整无语了😅","不知道一墙之隔Senator lounge咋样 反正这business lounge是纯💩 吃的选择少得可怜 不过也没关系反正看着也没食欲 不知道是不是只有飞欧美的乘客被圈在这草台班子T2L 反正也分不出好赖 不过仔细一想好像北美大车店Plaza Premium Lounge也比这强[再见R] 工作人员服务态度也是没有的…唯一优点是人少吧环境还行…马上要飞Allegris Business Suite 配这💩地面不纯给自己添堵吗🤡 #慕尼黑[话题]# #汉莎航空[话题]# #草台班子[话题]# #飞行日记[话题]# #北美打工人[话题]#","8"
"新泽西这大雪合理吗","不信邪 下午还去woodbury逛街 晚上八点才到家[石化R] #北美打工人[话题]# #突如其来的一场雪[话题]# #新泽西[话题]# #美东[话题]# #今年第一场雪[话题]#","12"
"When I am not flying","Gym🏋️ Cooking🍳 Work💻 #北美打工人[话题]#","9"
"New Mexico｜误入白色星球🤍","终于来到 White Sands National Park 世界上最大的白色沙漠 真的像走进了另一个星球 这里的沙子不是普通沙子 而是白色石膏 📍建议一定要往里开 越往深处 越干净、越震撼 🌅日落是最美的时候 白色沙丘会慢慢变成粉色 真的很梦幻 🛷可以滑沙（超级好玩） 📍 New MexicoAlamogordo White Sands National Park, Dunes Dr, Alamogordo, NM 88310, United States 逃离城市的几天 在沙漠里找到了一点点安静和自由 #留学生[话题]# #海外生活[话题]# #白沙公园[话题]# #新墨西哥州[话题]# #新墨西哥州旅行[话题]# #沙漠[话题]# #有一种不在国内的美[话题]# #美国旅行[话题]# #白沙国家公园[话题]# #小众旅行地[话题]#","106"
"California🌴","加州真的很chill 有种退休的松弛感🤣 纽约快点暖和起来呀[呃R] #留学生[话题]# #190[话题]# #海外生活[话题]# #加州[话题]# #洛杉矶[话题]# #美国留学[话题]# #存在于每一个当下[话题]#","89"
"🇨🇳国航747头等舱｜CA1315｜PEK - CAN","国航白板会员 蹲到了R+8000换到了临期的747头等，起飞当天提前三个小时到机场 选到了1A 太开心了 没啥可说的 法拉利老了还是法拉利 一次纯粹的意义大于体验本身的飞行。为了747头等当天往返了广州，哈苏徕卡齐上阵，为了给空中女王多留下一些证件照[自拍R] 有点遗憾的是回国那段时间744定检 不知道还有没有机会一睹芳容 @国航飞享生活 #飞行日记[话题]# #头等舱[话题]# #国航[话题]# #里程票[话题]# #波音747[话题]#","215"
