序号,分类,子分类,违禁词/用语,风险等级,说明/备注
93,化妆品虚假宣传,丰胸美乳,美乳,高,化妆品禁用功效词
94,化妆品虚假宣传,丰胸美乳,魅乳,高,化妆品禁用功效词
95,化妆品虚假宣传,丰胸美乳,丰美,高,化妆品禁用功效词
96,化妆品虚假宣传,丰胸美乳,乳腺膨胀,高,化妆品禁用功效词
97,化妆品虚假宣传,美发护发,育发,高,化妆品禁用功效词
98,化妆品虚假宣传,美发护发,固发,高,化妆品禁用功效词
99,化妆品虚假宣传,美发护发,密发,高,化妆品禁用功效词
100,化妆品虚假宣传,美发护发,黑发,高,化妆品禁用功效词
101,化妆品虚假宣传,美发护发,乌发,高,化妆品禁用功效词
102,化妆品虚假宣传,美发护发,防脱,高,化妆品禁用功效词
103,化妆品虚假宣传,美发护发,脱毛,高,化妆品禁用功效词
104,化妆品虚假宣传,美发护发,一洗黑,高,化妆品禁用功效词
105,化妆品虚假宣传,美发护发,染发,高,化妆品禁用功效词
106,化妆品虚假宣传,美发护发,天然染发,高,化妆品禁用功效词
107,化妆品虚假宣传,美发护发,强韧发根,高,化妆品禁用功效词
108,化妆品虚假宣传,美发护发,生眉,高,化妆品禁用功效词
109,化妆品虚假宣传,美发护发,丰眉,高,化妆品禁用功效词
110,化妆品虚假宣传,防晒抗辐射,防辐射,高,化妆品禁用功效词
111,化妆品虚假宣传,防晒抗辐射,隔离阳光,高,化妆品禁用功效词
112,化妆品虚假宣传,防晒抗辐射,对抗紫外线,高,化妆品禁用功效词
113,化妆品虚假宣传,防晒抗辐射,无色斑,高,化妆品禁用功效词
114,化妆品虚假宣传,其他功效,嫩肤,高,化妆品禁用功效词
115,化妆品虚假宣传,其他功效,除臭,高,化妆品禁用功效词
116,化妆品虚假宣传,其他功效,除脚臭,高,化妆品禁用功效词
117,化妆品虚假宣传,其他功效,永不褪色,高,化妆品虚假宣传
118,化妆品虚假宣传,其他功效,瞬间美白,高,化妆品虚假宣传
119,化妆品虚假宣传,其他功效,瞬间见效,高,化妆品虚假宣传
120,化妆品虚假宣传,其他功效,立即见效,高,化妆品虚假宣传
121,化妆品虚假宣传,其他功效,全方位,中,化妆品夸大宣传
122,虚假宣传,承诺保证,保证治愈,高,虚假医疗承诺
123,虚假宣传,承诺保证,彻底根治,高,虚假医疗承诺
124,虚假宣传,承诺保证,百分之百效果,高,虚假效果承诺
125,虚假宣传,承诺保证,快速致富,高,虚假财务承诺
126,虚假宣传,承诺保证,一夜暴富,高,虚假财务承诺
127,虚假宣传,承诺保证,零风险高收益,高,虚假财务承诺
128,虚假宣传,承诺保证,加入即分红,高,涉嫌传销
129,虚假宣传,承诺保证,躺赚,高,虚假财务承诺
130,虚假宣传,承诺保证,躺着赚钱,高,虚假财务承诺
131,虚假宣传,承诺保证,日赚,高,虚假财务承诺
132,虚假宣传,承诺保证,月入过万,高,虚假财务承诺
133,虚假宣传,承诺保证,月入百万,高,虚假财务承诺
134,虚假宣传,承诺保证,轻松月入,高,虚假财务承诺
135,虚假宣传,承诺保证,在家赚钱,中,涉嫌虚假副业宣传
136,虚假宣传,承诺保证,副业日入,高,虚假财务承诺
137,虚假宣传,承诺保证,被动收入,中,涉嫌虚假财务宣传
138,虚假宣传,营销话术,免费领取,中,诱导消费
139,虚假宣传,营销话术,返利,高,涉嫌违规返利
140,虚假宣传,营销话术,必买,中,极端推荐
141,虚假宣传,营销话术,必入,中,极端推荐
142,虚假宣传,营销话术,必囤,中,极端推荐
143,虚假宣传,营销话术,不买后悔,中,制造焦虑
144,虚假宣传,营销话术,后悔没早买,中,制造焦虑
145,虚假宣传,营销话术,用过都说好,中,虚假口碑
146,虚假宣传,营销话术,回购率100%,高,虚假数据
147,虚假宣传,营销话术,好评率100%,高,虚假数据
148,虚假宣传,营销话术,零差评,高,虚假数据
149,虚假宣传,营销话术,全五星,高,虚假数据
150,虚假宣传,营销话术,非转基因更安全,高,违反广告法
151,虚假宣传,营销话术,点击试穿,中,诱导点击
152,虚假宣传,营销话术,点击翻转,中,诱导点击
153,虚假宣传,营销话术,点击转身,中,诱导点击
154,迷信玄学,玄学,塔罗牌,中,迷信玄学内容
155,迷信玄学,玄学,占星术,中,迷信玄学内容
156,迷信玄学,玄学,算卦,中,迷信玄学内容
157,迷信玄学,玄学,保佑,中,迷信内容
158,迷信玄学,玄学,开光,中,迷信内容
159,迷信玄学,玄学,驱邪,中,迷信内容
160,迷信玄学,玄学,辟邪,中,迷信内容
161,迷信玄学,玄学,转运珠,中,迷信内容
162,迷信玄学,玄学,本命年,低,迷信相关
163,迷信玄学,玄学,水逆,低,迷信相关
164,医疗健康补充,疾病名称,糖尿病,高,疾病名不可用于普通产品宣传
165,医疗健康补充,疾病名称,高血压,高,疾病名不可用于普通产品宣传
166,医疗健康补充,疾病名称,心脏病,高,疾病名不可用于普通产品宣传
167,医疗健康补充,疾病名称,癌症,高,疾病名不可用于普通产品宣传
168,医疗健康补充,疾病名称,肿瘤,高,疾病名不可用于普通产品宣传
169,医疗健康补充,疾病名称,抑郁症,高,疾病名不可用于普通产品宣传
170,医疗健康补充,疾病名称,焦虑症,高,疾病名不可用于普通产品宣传
171,医疗健康补充,疾病名称,自闭症,高,疾病名不可用于普通产品宣传
172,医疗健康补充,疾病名称,白血病,高,疾病名不可用于普通产品宣传
173,医疗健康补充,疾病名称,艾滋病,高,疾病名不可用于普通产品宣传
174,医疗健康补充,疾病名称,乙肝,高,疾病名不可用于普通产品宣传
175,医疗健康补充,疾病名称,梅毒,高,疾病名不可用于普通产品宣传
176,医疗健康补充,疾病名称,湿疹,高,疾病名不可用于普通产品宣传
177,医疗健康补充,疾病名称,痔疮,高,疾病名不可用于普通产品宣传
178,医疗健康补充,疾病名称,前列腺,高,疾病名不可用于普通产品宣传
179,医疗健康补充,功效词,抗衰老,高,化妆品禁用功效词
180,医疗健康补充,功效词,抗氧化,高,化妆品禁用功效词
181,医疗健康补充,功效词,抗皱,高,化妆品禁用功效词
182,医疗健康补充,功效词,抗过敏,高,化妆品禁用功效词
183,医疗健康补充,功效词,抗衰,高,化妆品禁用功效词
184,医疗健康补充,功效词,抗老,高,化妆品禁用功效词
185,医疗健康补充,功效词,促进血液循环,高,医疗功效词
186,医疗健康补充,功效词,增强体质,高,保健品功效词
187,医疗健康补充,功效词,提高性功能,高,保健品禁用功效词
188,医疗健康补充,功效词,改善性功能,高,保健品禁用功效词
189,医疗健康补充,功效词,调理身体,中,疑似医疗宣传
190,医疗健康补充,功效词,排湿,高,疑似医疗宣传
191,医疗健康补充,功效词,祛湿,高,疑似医疗宣传
192,医疗健康补充,功效词,暖宫,高,疑似医疗宣传
193,医疗健康补充,功效词,养胃,高,疑似医疗宣传
194,医疗健康补充,功效词,养肝,高,疑似医疗宣传
195,医疗健康补充,功效词,养肺,高,疑似医疗宣传
196,医疗健康补充,功效词,降火,高,疑似医疗宣传
197,医疗健康补充,功效词,去火,高,疑似医疗宣传
198,医疗健康补充,功效词,清肺,高,疑似医疗宣传
199,医疗健康补充,功效词,润肺,高,疑似医疗宣传
200,医疗健康补充,功效词,明目,高,疑似医疗宣传
201,医疗健康补充,功效词,补气,高,疑似医疗宣传
202,医疗健康补充,功效词,补钙,中,疑似医疗宣传
203,绝对化用语补充,与最有关,最热门,高,绝对化用语
204,绝对化用语补充,与最有关,最畅销,高,绝对化用语
205,绝对化用语补充,与最有关,最实惠,高,绝对化用语
206,绝对化用语补充,与最有关,最值得,高,绝对化用语
207,绝对化用语补充,与最有关,最火,高,绝对化用语
208,绝对化用语补充,与最有关,最强,高,绝对化用语
209,绝对化用语补充,与最有关,最棒,高,绝对化用语
210,绝对化用语补充,与最有关,最靠谱,高,绝对化用语
211,绝对化用语补充,与最有关,最专业,高,绝对化用语
212,绝对化用语补充,与最有关,最权威,高,绝对化用语
213,绝对化用语补充,极限词,绝杀,高,极限用语
214,绝对化用语补充,极限词,封神,中,极端推荐用语
215,绝对化用语补充,极限词,天花板,中,极端推荐用语
216,绝对化用语补充,极限词,yyds,中,极端推荐用语
217,绝对化用语补充,极限词,永远的神,中,极端推荐用语
218,绝对化用语补充,极限词,断货王,中,极端营销用语
219,绝对化用语补充,极限词,爆款,中,极端营销用语
220,绝对化用语补充,极限词,神器,中,极端推荐用语
221,绝对化用语补充,极限词,逆天,中,极端推荐用语
222,绝对化用语补充,极限词,碾压,中,极端对比用语
223,绝对化用语补充,极限词,吊打,中,极端对比用语
224,绝对化用语补充,数量限定,全球限量,高,虚假限量
225,绝对化用语补充,数量限定,全国限量,高,虚假限量
226,绝对化用语补充,数量限定,限量版,中,可能涉及虚假限量
227,绝对化用语补充,排名,销量领先,高,无法验证的排名
228,绝对化用语补充,排名,行业领先,高,无法验证的排名
229,绝对化用语补充,排名,品牌领先,高,无法验证的排名
230,绝对化用语补充,排名,领跑者,高,无法验证的排名
231,绝对化用语补充,排名,开创者,高,无法验证的排名
232,绝对化用语补充,排名,引领者,高,无法验证的排名
233,绝对化用语补充,排名,领军品牌,高,无法验证的排名
234,诱导消费补充,制造焦虑,再不买就涨价,中,制造价格焦虑
235,诱导消费补充,制造焦虑,即将售罄,中,制造紧迫感
236,诱导消费补充,制造焦虑,库存告急,中,制造紧迫感
237,诱导消费补充,制造焦虑,手慢无,中,制造紧迫感
238,诱导消费补充,制造焦虑,最后XX件,中,制造紧迫感
239,诱导消费补充,制造焦虑,最后XX个名额,中,制造紧迫感
240,诱导消费补充,价格欺诈,骨折价,中,价格欺诈用语
241,诱导消费补充,价格欺诈,白菜价,中,价格欺诈用语
242,诱导消费补充,价格欺诈,吐血价,中,价格欺诈用语
243,诱导消费补充,价格欺诈,清仓价,中,价格欺诈用语
244,诱导消费补充,价格欺诈,亏本甩卖,中,价格欺诈用语
245,诱导消费补充,价格欺诈,厂家直销,中,可能涉及虚假宣传
246,诱导消费补充,价格欺诈,工厂价,中,可能涉及虚假宣传
247,诱导消费补充,价格欺诈,出厂价,中,可能涉及虚假宣传
