序号,分类,子分类,违禁词/用语,风险等级,说明/备注
122,品牌相关违禁词,品牌宣传用语,巨星,高,涉嫌品牌夸大宣传
123,品牌相关违禁词,品牌宣传用语,著名,高,涉嫌品牌夸大宣传
124,品牌相关违禁词,品牌宣传用语,掌门人,高,涉嫌品牌夸大宣传
125,品牌相关违禁词,品牌宣传用语,资深领袖,高,涉嫌品牌夸大宣传
126,品牌相关违禁词,品牌宣传用语,之王,高,涉嫌品牌夸大宣传
127,品牌相关违禁词,品牌宣传用语,王者,高,涉嫌品牌夸大宣传
128,品牌相关违禁词,品牌宣传用语,冠军,高,涉嫌品牌夸大宣传
129,品牌相关违禁词,品牌宣传用语,世界领先,高,涉嫌品牌夸大宣传
130,品牌相关违禁词,品牌宣传用语,遥遥领先,高,涉嫌品牌夸大宣传
131,品牌相关违禁词,品牌宣传用语,销量冠军,高,涉嫌品牌夸大宣传
132,权威性违禁词,权威性用语,老字号,高,涉嫌虚假权威背书
133,权威性违禁词,权威性用语,中国驰名商标,高,涉嫌虚假权威背书
134,权威性违禁词,权威性用语,特供,高,涉嫌虚假权威背书
135,权威性违禁词,权威性用语,专供,高,涉嫌虚假权威背书
136,权威性违禁词,权威性用语,专家推荐,高,涉嫌虚假权威背书
137,权威性违禁词,权威性用语,质量免检,高,涉嫌虚假权威背书
138,权威性违禁词,权威性用语,无需国家质量检测,高,涉嫌虚假权威背书
139,权威性违禁词,权威性用语,免抽检,高,涉嫌虚假权威背书
140,权威性违禁词,权威性用语,国家领导人推荐,高,涉嫌虚假权威背书
141,权威性违禁词,权威性用语,国家机关推荐,高,涉嫌虚假权威背书
142,权威性违禁词,权威性用语,使用人民币图样,高,涉嫌虚假权威背书
143,虚假用语,虚假宣传用语,永久,高,违反广告法，涉嫌虚假宣传
144,虚假用语,虚假宣传用语,万能,高,违反广告法，涉嫌虚假宣传
145,虚假用语,虚假宣传用语,特效,高,违反广告法，涉嫌虚假宣传
146,虚假用语,虚假宣传用语,无敌,高,违反广告法，涉嫌虚假宣传
147,虚假用语,虚假宣传用语,纯天然,高,违反广告法，涉嫌虚假宣传
148,虚假用语,虚假宣传用语,100%,高,违反广告法，涉嫌虚假宣传
149,虚假用语,虚假宣传用语,高档,高,违反广告法，涉嫌虚假宣传
150,虚假用语,虚假宣传用语,正品,高,违反广告法，涉嫌虚假宣传
151,虚假用语,虚假宣传用语,真皮,高,违反广告法，涉嫌虚假宣传
152,虚假用语,虚假宣传用语,超赚,高,违反广告法，涉嫌虚假宣传
153,虚假用语,虚假宣传用语,精准,高,违反广告法，涉嫌虚假宣传
154,虚假用语,虚假宣传用语,史无前例,高,违反广告法，涉嫌虚假宣传
155,虚假用语,虚假宣传用语,前无古人,高,违反广告法，涉嫌虚假宣传
156,虚假用语,虚假宣传用语,祖传,高,违反广告法，涉嫌虚假宣传
157,承诺/保证类违禁词,承诺保证用语,无效退款,高,涉嫌虚假承诺，误导消费者
158,承诺/保证类违禁词,承诺保证用语,不满意退款,高,涉嫌虚假承诺，误导消费者
159,承诺/保证类违禁词,承诺保证用语,零风险,高,涉嫌虚假承诺，误导消费者
160,承诺/保证类违禁词,承诺保证用语,特效,高,涉嫌虚假承诺，误导消费者
161,承诺/保证类违禁词,承诺保证用语,强效,高,涉嫌虚假承诺，误导消费者
162,承诺/保证类违禁词,承诺保证用语,速效,高,涉嫌虚假承诺，误导消费者
163,承诺/保证类违禁词,承诺保证用语,保证彻底解决,高,涉嫌虚假承诺，误导消费者
164,承诺/保证类违禁词,承诺保证用语,1天见效,高,涉嫌虚假承诺，误导消费者
165,承诺/保证类违禁词,承诺保证用语,100%有效,高,涉嫌虚假承诺，误导消费者
166,承诺/保证类违禁词,承诺保证用语,无依赖,高,涉嫌虚假承诺，误导消费者
167,承诺/保证类违禁词,承诺保证用语,无副作用,高,涉嫌虚假承诺，误导消费者
168,承诺/保证类违禁词,承诺保证用语,彻底消除,高,涉嫌虚假承诺，误导消费者
169,承诺/保证类违禁词,承诺保证用语,彻底清除,高,涉嫌虚假承诺，误导消费者
170,承诺/保证类违禁词,承诺保证用语,包过,高,涉嫌虚假承诺，误导消费者
171,承诺/保证类违禁词,承诺保证用语,一次通过,高,涉嫌虚假承诺，误导消费者
172,承诺/保证类违禁词,承诺保证用语,升值,高,涉嫌虚假承诺，误导消费者
173,承诺/保证类违禁词,承诺保证用语,投资回报,高,涉嫌虚假承诺，误导消费者
174,承诺/保证类违禁词,承诺保证用语,不用学直接选,高,涉嫌虚假承诺，误导消费者
175,涉嫌欺诈/诱导消费,诱导点击用语,点击领奖,高,涉嫌欺诈或诱导消费
176,涉嫌欺诈/诱导消费,诱导点击用语,恭喜获奖,高,涉嫌欺诈或诱导消费
177,涉嫌欺诈/诱导消费,诱导点击用语,全民免单,高,涉嫌欺诈或诱导消费
178,涉嫌欺诈/诱导消费,诱导点击用语,点击有惊喜,高,涉嫌欺诈或诱导消费
179,涉嫌欺诈/诱导消费,诱导点击用语,点击获取,高,涉嫌欺诈或诱导消费
180,涉嫌欺诈/诱导消费,诱导点击用语,领取奖品,高,涉嫌欺诈或诱导消费
181,涉嫌欺诈/诱导消费,诱导点击用语,转发三三子,高,涉嫌欺诈或诱导消费
182,涉嫌欺诈/诱导消费,诱导点击用语,一键三连,高,涉嫌欺诈或诱导消费
183,涉嫌欺诈/诱导消费,刺激消费用语,秒杀,中,可能触发审核或限流
184,涉嫌欺诈/诱导消费,刺激消费用语,抢爆,中,可能触发审核或限流
185,涉嫌欺诈/诱导消费,刺激消费用语,再不抢就没了,中,可能触发审核或限流
186,涉嫌欺诈/诱导消费,刺激消费用语,不会更便宜了,中,可能触发审核或限流
187,涉嫌欺诈/诱导消费,刺激消费用语,错过就没机会了,中,可能触发审核或限流
188,涉嫌欺诈/诱导消费,刺激消费用语,万人疯抢,中,可能触发审核或限流
189,涉嫌欺诈/诱导消费,刺激消费用语,全民疯抢,中,可能触发审核或限流
190,涉嫌欺诈/诱导消费,刺激消费用语,全民抢购,中,可能触发审核或限流
191,涉嫌欺诈/诱导消费,刺激消费用语,抢疯了,中,可能触发审核或限流
192,涉嫌欺诈/诱导消费,刺激消费用语,卖疯了,中,可能触发审核或限流
193,疑似医疗用语,内分泌/免疫/助眠,全面调整人体内分泌平衡,高,普通商品禁用医疗用语，违反广告法
194,疑似医疗用语,内分泌/免疫/助眠,增强或提高免疫力,高,普通商品禁用医疗用语，违反广告法
195,疑似医疗用语,内分泌/免疫/助眠,助眠,高,普通商品禁用医疗用语，违反广告法
196,疑似医疗用语,内分泌/免疫/助眠,失眠,高,普通商品禁用医疗用语，违反广告法
197,疑似医疗用语,内分泌/免疫/助眠,滋阴补阳,高,普通商品禁用医疗用语，违反广告法
198,疑似医疗用语,内分泌/免疫/助眠,壮阳,高,普通商品禁用医疗用语，违反广告法
199,疑似医疗用语,皮肤修复/消炎,消炎,高,普通商品禁用医疗用语，违反广告法
200,疑似医疗用语,皮肤修复/消炎,可促进新陈代谢,高,普通商品禁用医疗用语，违反广告法
201,疑似医疗用语,皮肤修复/消炎,减少红血丝,高,普通商品禁用医疗用语，违反广告法
202,疑似医疗用语,皮肤修复/消炎,修复受损肌肤,高,普通商品禁用医疗用语，违反广告法
203,疑似医疗用语,皮肤修复/消炎,治愈,高,普通商品禁用医疗用语，违反广告法
204,疑似医疗用语,皮肤修复/消炎,抗炎,高,普通商品禁用医疗用语，违反广告法
205,疑似医疗用语,皮肤修复/消炎,活血,高,普通商品禁用医疗用语，违反广告法
206,疑似医疗用语,皮肤修复/消炎,解毒,高,普通商品禁用医疗用语，违反广告法
207,疑似医疗用语,皮肤修复/消炎,抗敏,高,普通商品禁用医疗用语，违反广告法
208,疑似医疗用语,皮肤修复/消炎,脱敏,高,普通商品禁用医疗用语，违反广告法
209,疑似医疗用语,减肥/杀菌/排毒,减肥,高,普通商品禁用医疗用语，违反广告法
210,疑似医疗用语,减肥/杀菌/排毒,清热解毒,高,普通商品禁用医疗用语，违反广告法
211,疑似医疗用语,减肥/杀菌/排毒,清热袪湿,高,普通商品禁用医疗用语，违反广告法
212,疑似医疗用语,减肥/杀菌/排毒,治疗,高,普通商品禁用医疗用语，违反广告法
213,疑似医疗用语,减肥/杀菌/排毒,除菌,高,普通商品禁用医疗用语，违反广告法
214,疑似医疗用语,减肥/杀菌/排毒,杀菌,高,普通商品禁用医疗用语，违反广告法
215,疑似医疗用语,减肥/杀菌/排毒,抗菌,高,普通商品禁用医疗用语，违反广告法
216,疑似医疗用语,减肥/杀菌/排毒,灭菌,高,普通商品禁用医疗用语，违反广告法
217,疑似医疗用语,减肥/杀菌/排毒,防菌,高,普通商品禁用医疗用语，违反广告法
218,疑似医疗用语,减肥/杀菌/排毒,消毒,高,普通商品禁用医疗用语，违反广告法
219,疑似医疗用语,减肥/杀菌/排毒,排毒,高,普通商品禁用医疗用语，违反广告法
220,疑似医疗用语,敏感肌肤相关,防敏,高,普通商品禁用医疗用语，违反广告法
221,疑似医疗用语,敏感肌肤相关,柔敏,高,普通商品禁用医疗用语，违反广告法
222,疑似医疗用语,敏感肌肤相关,舒敏,高,普通商品禁用医疗用语，违反广告法
223,疑似医疗用语,敏感肌肤相关,缓敏,高,普通商品禁用医疗用语，违反广告法
224,疑似医疗用语,敏感肌肤相关,脱敏,高,普通商品禁用医疗用语，违反广告法
225,疑似医疗用语,敏感肌肤相关,褪敏,高,普通商品禁用医疗用语，违反广告法
226,疑似医疗用语,敏感肌肤相关,改善敏感肌肤,高,普通商品禁用医疗用语，违反广告法
227,疑似医疗用语,敏感肌肤相关,改善过敏现象,高,普通商品禁用医疗用语，违反广告法
228,疑似医疗用语,敏感肌肤相关,降低肌肤敏感度,高,普通商品禁用医疗用语，违反广告法
229,疑似医疗用语,中医药理用语,镇定,高,普通商品禁用医疗用语，违反广告法
230,疑似医疗用语,中医药理用语,镇静,高,普通商品禁用医疗用语，违反广告法
231,疑似医疗用语,中医药理用语,理气,高,普通商品禁用医疗用语，违反广告法
232,疑似医疗用语,中医药理用语,行气,高,普通商品禁用医疗用语，违反广告法
233,疑似医疗用语,中医药理用语,活血,高,普通商品禁用医疗用语，违反广告法
234,疑似医疗用语,中医药理用语,生肌肉,高,普通商品禁用医疗用语，违反广告法
235,疑似医疗用语,中医药理用语,补血,高,普通商品禁用医疗用语，违反广告法
236,疑似医疗用语,中医药理用语,安神,高,普通商品禁用医疗用语，违反广告法
237,疑似医疗用语,中医药理用语,养脑,高,普通商品禁用医疗用语，违反广告法
238,疑似医疗用语,中医药理用语,益气,高,普通商品禁用医疗用语，违反广告法
239,疑似医疗用语,中医药理用语,通脉,高,普通商品禁用医疗用语，违反广告法
240,疑似医疗用语,调理/补肾/生发,胃胀蠕动,高,普通商品禁用医疗用语，违反广告法
241,疑似医疗用语,调理/补肾/生发,利尿,高,普通商品禁用医疗用语，违反广告法
242,疑似医疗用语,调理/补肾/生发,驱寒解毒,高,普通商品禁用医疗用语，违反广告法
243,疑似医疗用语,调理/补肾/生发,调节内分泌,高,普通商品禁用医疗用语，违反广告法
244,疑似医疗用语,调理/补肾/生发,延缓更年期,高,普通商品禁用医疗用语，违反广告法
245,疑似医疗用语,调理/补肾/生发,补肾,高,普通商品禁用医疗用语，违反广告法
246,疑似医疗用语,调理/补肾/生发,祛风,高,普通商品禁用医疗用语，违反广告法
247,疑似医疗用语,调理/补肾/生发,生发,高,普通商品禁用医疗用语，违反广告法
248,疑似医疗用语,重大疾病,防癌,高,普通商品禁用医疗用语，违反广告法
249,疑似医疗用语,重大疾病,抗癌,高,普通商品禁用医疗用语，违反广告法
250,疑似医疗用语,血压/祛疤,祛疤,高,普通商品禁用医疗用语，违反广告法
251,疑似医疗用语,血压/祛疤,降血压,高,普通商品禁用医疗用语，违反广告法
252,疑似医疗用语,血压/祛疤,防治高血压,高,普通商品禁用医疗用语，违反广告法
253,疑似医疗用语,血压/祛疤,治疗,高,普通商品禁用医疗用语，违反广告法
254,疑似医疗用语,荷尔蒙/排毒,改善内分泌,高,普通商品禁用医疗用语，违反广告法
255,疑似医疗用语,荷尔蒙/排毒,平衡荷尔蒙,高,普通商品禁用医疗用语，违反广告法
256,疑似医疗用语,荷尔蒙/排毒,防止卵巢及子宫功能紊乱,高,普通商品禁用医疗用语，违反广告法
257,疑似医疗用语,荷尔蒙/排毒,去除体内毒素,高,普通商品禁用医疗用语，违反广告法
258,疑似医疗用语,荷尔蒙/排毒,吸附铅汞,高,普通商品禁用医疗用语，违反广告法
259,疑似医疗用语,除湿/体臭,除湿,高,普通商品禁用医疗用语，违反广告法
260,疑似医疗用语,除湿/体臭,润燥,高,普通商品禁用医疗用语，违反广告法
261,疑似医疗用语,除湿/体臭,治疗腋臭,高,普通商品禁用医疗用语，违反广告法
262,疑似医疗用语,除湿/体臭,治疗体臭,高,普通商品禁用医疗用语，违反广告法
263,疑似医疗用语,除湿/体臭,治疗阴臭,高,普通商品禁用医疗用语，违反广告法
264,疑似医疗用语,美容/祛斑,美容治疗,高,普通商品禁用医疗用语，违反广告法
265,疑似医疗用语,美容/祛斑,消除斑点,高,普通商品禁用医疗用语，违反广告法
266,疑似医疗用语,美容/祛斑,斑立净,高,普通商品禁用医疗用语，违反广告法
267,疑似医疗用语,美容/祛斑,无斑,高,普通商品禁用医疗用语，违反广告法
268,疑似医疗用语,美容/祛斑,治疗斑秃,高,普通商品禁用医疗用语，违反广告法
269,疑似医疗用语,美容/祛斑,逐层减退多种色斑,高,普通商品禁用医疗用语，违反广告法
270,疑似医疗用语,美容/祛斑,妊娠纹,高,普通商品禁用医疗用语，违反广告法
271,疑似医疗用语,毛发再生/脱发,毛发新生,高,普通商品禁用医疗用语，违反广告法
272,疑似医疗用语,毛发再生/脱发,毛发再生,高,普通商品禁用医疗用语，违反广告法
273,疑似医疗用语,毛发再生/脱发,生黑发,高,普通商品禁用医疗用语，违反广告法
274,疑似医疗用语,毛发再生/脱发,止脱,高,普通商品禁用医疗用语，违反广告法
275,疑似医疗用语,毛发再生/脱发,生发止脱,高,普通商品禁用医疗用语，违反广告法
276,疑似医疗用语,毛发再生/脱发,脂溢性脱发,高,普通商品禁用医疗用语，违反广告法
277,疑似医疗用语,毛发再生/脱发,病变性脱发,高,普通商品禁用医疗用语，违反广告法
278,疑似医疗用语,毛发再生/脱发,毛囊激活,高,普通商品禁用医疗用语，违反广告法
279,疑似医疗用语,伤口/毒素,酒糟鼻,高,普通商品禁用医疗用语，违反广告法
280,疑似医疗用语,伤口/毒素,伤口愈合清除毒素,高,普通商品禁用医疗用语，违反广告法
281,疑似医疗用语,疾病症状/处方,缓解痉挛抽搐,高,普通商品禁用医疗用语，违反广告法
282,疑似医疗用语,疾病症状/处方,减轻或缓解疾病症状,高,普通商品禁用医疗用语，违反广告法
283,疑似医疗用语,疾病症状/处方,处方,高,普通商品禁用医疗用语，违反广告法
284,疑似医疗用语,疾病症状/处方,药方,高,普通商品禁用医疗用语，违反广告法
285,疑似医疗用语,皮肤病/癣类,丘疹,高,普通商品禁用医疗用语，违反广告法
286,疑似医疗用语,皮肤病/癣类,脓疱,高,普通商品禁用医疗用语，违反广告法
287,疑似医疗用语,皮肤病/癣类,手癣,高,普通商品禁用医疗用语，违反广告法
288,疑似医疗用语,皮肤病/癣类,甲癣,高,普通商品禁用医疗用语，违反广告法
289,疑似医疗用语,皮肤病/癣类,体癣,高,普通商品禁用医疗用语，违反广告法
290,疑似医疗用语,皮肤病/癣类,头癣,高,普通商品禁用医疗用语，违反广告法
291,疑似医疗用语,皮肤病/癣类,股癣,高,普通商品禁用医疗用语，违反广告法
292,疑似医疗用语,皮肤病/癣类,脚癣,高,普通商品禁用医疗用语，违反广告法
293,疑似医疗用语,皮肤病/癣类,脚气,高,普通商品禁用医疗用语，违反广告法
294,疑似医疗用语,皮肤病/癣类,鹅掌癣,高,普通商品禁用医疗用语，违反广告法
295,疑似医疗用语,皮肤病/癣类,花斑癣,高,普通商品禁用医疗用语，违反广告法
296,疑似医疗用语,皮肤病/癣类,牛皮癣,高,普通商品禁用医疗用语，违反广告法
297,疑似医疗用语,皮肤病/癣类,传染性湿疹,高,普通商品禁用医疗用语，违反广告法
298,疑似医疗用语,常见病症,伤风感冒,高,普通商品禁用医疗用语，违反广告法
299,疑似医疗用语,常见病症,经痛,高,普通商品禁用医疗用语，违反广告法
300,疑似医疗用语,常见病症,肌痛,高,普通商品禁用医疗用语，违反广告法
301,疑似医疗用语,常见病症,头痛,高,普通商品禁用医疗用语，违反广告法
302,疑似医疗用语,常见病症,腹痛,高,普通商品禁用医疗用语，违反广告法
303,疑似医疗用语,常见病症,便秘,高,普通商品禁用医疗用语，违反广告法
304,疑似医疗用语,常见病症,哮喘,高,普通商品禁用医疗用语，违反广告法
305,疑似医疗用语,常见病症,支气管炎,高,普通商品禁用医疗用语，违反广告法
306,疑似医疗用语,常见病症,消化不良,高,普通商品禁用医疗用语，违反广告法
307,疑似医疗用语,外伤/感染,刀伤,高,普通商品禁用医疗用语，违反广告法
308,疑似医疗用语,外伤/感染,烧伤,高,普通商品禁用医疗用语，违反广告法
309,疑似医疗用语,外伤/感染,烫伤,高,普通商品禁用医疗用语，违反广告法
310,疑似医疗用语,外伤/感染,疮痈,高,普通商品禁用医疗用语，违反广告法
311,疑似医疗用语,外伤/感染,毛囊炎,高,普通商品禁用医疗用语，违反广告法
312,疑似医疗用语,外伤/感染,皮肤感染,高,普通商品禁用医疗用语，违反广告法
313,疑似医疗用语,外伤/感染,皮肤面部痉挛,高,普通商品禁用医疗用语，违反广告法
314,疑似医疗用语,微生物/痤疮,细菌,高,普通商品禁用医疗用语，违反广告法
315,疑似医疗用语,微生物/痤疮,真菌,高,普通商品禁用医疗用语，违反广告法
316,疑似医疗用语,微生物/痤疮,念珠菌,高,普通商品禁用医疗用语，违反广告法
