property_name,address,developer_company
One Hudson Yards,"530 W 30th St, New York NY",Related Companies
Tribeca Park,"400 Chambers St, New York NY",Related Companies
The Westport,"500 W 56th St, New York NY",Related Companies
The Ritz Plaza,"235 W 48th St, New York NY",Stonehenge NYC
Stonehenge Tower,"210 W 89th St, New York NY",Stonehenge NYC
20 Park Avenue,"20 Park Ave, New York NY",Stonehenge NYC
15 Cliff,"15 Cliff St, New York NY",Brookfield Properties
Oskar,"572 11th Ave, New York NY",Moinian Group
One Columbus Place,"400 W 59th St, New York NY",Brodsky Organization
Avalon Midtown West,"250 W 50th St, New York NY",AvalonBay Communities
Avalon Bowery Place,"11 E 1st St, New York NY",AvalonBay Communities
River Place,"650 W 42nd St, New York NY",Silverstein Properties
2 Gold Street,"2 Gold St, New York NY",TF Cornerstone
45 Wall Street,"45 Wall St, New York NY",TF Cornerstone
Instrata Gramercy,"290 Third Ave, New York NY",Greystar / Adellco
Instrata Nomad,"10 E 29th St, New York NY",Greystar / Adellco
The Biltmore,"271 W 47th St, New York NY",Jack Parker / Moinian
The Solaire,"20 River Terrace, New York NY",Albanese Organization
The Verdesian,"211 North End Ave, New York NY",Albanese Organization
The Aldyn,"60 Riverside Blvd, New York NY",Extell Development
111 Varick,"111 Varick St, New York NY",Madigan Development
The Brooklyner,"111 Lawrence St, Brooklyn NY",Steiner NYC / Clarett Group
The Ashland,"250 Ashland Pl, Brooklyn NY",Gotham Organization
Avalon Willoughby Square,"214 Duffield St, Brooklyn NY",AvalonBay Communities
The Hub,"333 Schermerhorn St, Brooklyn NY",Steiner NYC
33 Bond Street,"33 Bond St, Brooklyn NY",TF Cornerstone
The Brooklyn Tower,"9 DeKalb Ave, Brooklyn NY",Silverstein Properties
325 Kent Avenue,"325 Kent Ave, Brooklyn NY",Two Trees Management
One South First,"1 S First St, Brooklyn NY",Two Trees Management
One Domino Square,"One Domino Sq, Brooklyn NY",Two Trees Management
One Blue Slip,"37 Blue Slip, Brooklyn NY",Brookfield / Park Tower Group
Two Blue Slip,"Two Blue Slip, Brooklyn NY",Brookfield / Park Tower Group
The Bellslip,"1 Bell Slip, Brooklyn NY",Brookfield / Park Tower Group
The Dupont,"16 Dupont St, Brooklyn NY",Park Tower / Rockefeller Group
Front & York,"160 Front St, Brooklyn NY",RXR Realty
AVA Fort Greene,"343 Gold St, Brooklyn NY",AvalonBay Communities
Eagle + West,"227 West St, Brooklyn NY",Brookfield / Park Tower Group
300 Ashland Place,"300 Ashland Pl, Brooklyn NY",Two Trees Management
City Tower at 10 City Point,"336 Flatbush Ave Ext, Brooklyn NY",Brodsky Organization
DKLB BKLN,"80 DeKalb Ave, Brooklyn NY",Atlas Capital Group
66 Rockwell Place,"66 Rockwell Pl, Brooklyn NY",The Dermot Company
Brooklyn Crossing,"18 Sixth Ave, Brooklyn NY",Brodsky Organization / Greenland USA
595 Dean Street,"595 Dean St, Brooklyn NY",TF Cornerstone
505 State Street,"505 State St, Brooklyn NY",Alloy Development
BKLYN AIR,"309 Gold St, Brooklyn NY",Lalezarian Properties
The Brook,"589 Fulton St, Brooklyn NY",Witkoff Group / Apollo Global
The Rocklyn,"625 Fulton St, Brooklyn NY",Rabsky Group
Maxwell Downtown,"111 Willoughby St, Brooklyn NY",Michaels Org / Triangle Equities
101 Fleet Place,"101 Fleet Place, Brooklyn NY",The Jay Group
Lawrence Tower,"150 Lawrence St, Brooklyn NY",Solomon Schwimmer
388 Bridge Street,"388 Bridge St, Brooklyn NY",Estate of Stanley Stahl
275 Flatbush Ave Extension,"275 Flatbush Ave Ext, Brooklyn NY",The Jay Group
One Boerum Place,"1 Boerum Place, Brooklyn NY",Avery Hall / Allegra / Aria
365 Bond,"365 Bond St, Brooklyn NY",Lightstone Group
Society Brooklyn at Degraw,"500 Degraw St, Brooklyn NY",PMG / Carlyle Group
Society Brooklyn at Sackett,"504 Sackett St, Brooklyn NY",PMG / Carlyle Group
420 Carroll,"420 Carroll St, Brooklyn NY",Domain Companies
Union Channel,"240 Third Ave, Brooklyn NY",Charney / Tavros Capital
Douglass Port,"251 Douglass St, Brooklyn NY",Charney / Tavros / Canyon
Nevins Landing North,"310 Nevins St, Brooklyn NY",Charney / Tavros Capital
Nevins Landing South,"340 Nevins St, Brooklyn NY",Charney / Tavros Capital
175 Third Street,"175 Third St, Brooklyn NY",Charney / Tavros Capital
420 Kent,"420 Kent Ave, Brooklyn NY",Spitzer Enterprises
One North Fourth,"1 North 4th Place, Brooklyn NY",Douglaston Development
250N10,"250 North 10th St, Brooklyn NY",LCOR / TF Cornerstone
Leonard Pointe,"395 Leonard St, Brooklyn NY",UDR
101 Bedford,"101 Bedford Ave, Brooklyn NY",Halcyon Management
34 Berry Street,"34 Berry St, Brooklyn NY",LCOR
125 Borinquen Place,"125 Borinquen Pl, Brooklyn NY",Grand Residences
Fifth & Wythe,"55 North 5th St, Brooklyn NY",CC Apartment Management
Lorimer House,"265 Lorimer St, Brooklyn NY",Joyland / Meral / Loketch
461 Dean,"461 Dean St, Brooklyn NY",Forest City Ratner
535 Carlton,"535 Carlton Ave, Brooklyn NY",Greenland Forest City
38 Sixth,"38 Sixth Ave, Brooklyn NY",Greenland Forest City
Plank Road,"662 Pacific St, Brooklyn NY",Brodsky Organization
Loden,"54 Crown St, Brooklyn NY",Carmel Partners
The Arcadian,"975 Nostrand Ave, Brooklyn NY",Hudson Companies
Prospect House,"953 Dean St, Brooklyn NY",Clipper Realty
Prosper Brooklyn,"1042 Atlantic Ave, Brooklyn NY",EMP Capital Group
Denizen Bushwick,"54 Noll St, Brooklyn NY",All Year Management
The Rheingold,"10 Montieth St, Brooklyn NY",Rabsky Group
The MC,"1100 Myrtle Ave, Brooklyn NY",Shorewood Real Estate
Verdant Fort Greene,"240 Willoughby St, Brooklyn NY",Fetner / MCB / Farallon
Bridgeview,"69 Adams St, Brooklyn NY",Rabsky Group
Magnolia DUMBO,"160 Front St, Brooklyn NY",CIM Group / LIVWRK
The Lightwell,"218 Front St, Brooklyn NY",Chess Builders
35 Commercial Street,"35 Commercial St, Brooklyn NY",Park Tower Group
One Park Point,"11 Ocean Pkwy, Brooklyn NY",Focus Property Group
210 Clarkson,"210 Clarkson Ave, Brooklyn NY",K2 Real Estate
Sky Three,"532 Neptune Ave, Brooklyn NY",Rybak / Cammeby's
280 Bergen Street,"280 Bergen St, Brooklyn NY",Goose Property Management
Jackson Park,"28-10 Jackson Ave, Queens NY",Tishman Speyer
Sven,"29-59 Northern Blvd, Queens NY",Durst Organization
The Hayden,"43-25 Hunter St, Queens NY",Rockrose Development
Gotham Point,"1-15 57th Ave, Queens NY",Gotham Organization / RiseBoro
The Orchard,"29-37 Northern Blvd, Queens NY",BLDG Management
4545 Center Blvd,"4545 Center Blvd, Queens NY",TF Cornerstone
4610 Center Blvd,"4610 Center Blvd, Queens NY",TF Cornerstone
47-20 Center Blvd,"47-20 Center Blvd, Queens NY",TF Cornerstone
4615 Center Blvd,"4615 Center Blvd, Queens NY",TF Cornerstone
45-40 Center Blvd,"45-40 Center Blvd, Queens NY",TF Cornerstone
52-03 Center Blvd,"52-03 Center Blvd, Queens NY",TF Cornerstone
Malt Drive,"2-20 Malt Dr, Queens NY",TF Cornerstone
The Forge,"44-28 Purves St, Queens NY",Brause Realty / Gotham Org
Halletts Point,"10 Halletts Point, Queens NY",Durst Organization
Link Apartments QPN,"25-01 Queens Plaza North, Queens NY",Grubb Properties
Radiant,"24-01 Queens Plaza North, Queens NY",New Empire Corp
Hearthstone,"34-35 44th St, Queens NY",Silverstein Properties
Archer Towers,"163-05 Archer Ave, Jamaica NY",BRP Companies
One Archer,"92-27 160th St, Jamaica NY",Shorewood Real Estate
Moda,"153-30 89th Ave, Jamaica NY",Dermot Company
The Sunlight,"138-18 Northern Blvd, Flushing NY",Sunlight Development
Bankside,"2401 Third Ave, Bronx NY",Brookfield Properties
The Arches,"224-228 E 135th St, Bronx NY",The Chess Builders
Estela,"414 Gerard Ave, Bronx NY",The Domain Companies
Bruckner House,"40 Bruckner Blvd, Bronx NY",JCS Realty Group
Maven,"2413 Third Ave, Bronx NY",RXR
Staten Island Urby,"7 Navy Pier Ct, Staten Island NY",Ironstate / Brookfield
Newport Portfolio,"Various Newport, Jersey City NJ",LeFrak Organization
Haus25,"25 Christopher Columbus Dr, Jersey City NJ",Veris Residential
Sable,"200 Greene St, Jersey City NJ",Veris Residential
Liberty Towers,"33 Hudson St, Jersey City NJ",Veris Residential
BLVD 401,"401 Washington Blvd, Jersey City NJ",Veris Residential
BLVD 425,"425 Washington Blvd, Jersey City NJ",Veris Residential
BLVD 475,"475 Washington Blvd, Jersey City NJ",Veris Residential
Soho Lofts,"273 16th St, Jersey City NJ",Veris Residential
Columbus Collection,"50 Christopher Columbus Dr, Jersey City NJ",Ironstate / Panepinto
235 Grand,"235 Grand St, Jersey City NJ",Ironstate / KRE Group
The Hendrix,"180 Morgan St, Jersey City NJ",Albanese / SILVERMAN
Journal Squared,"Pavonia Ave, Jersey City NJ",KRE Group
7 Seventy House,"770 Jackson St, Hoboken NJ",Bijou Properties
Hoboken Point,"100 Harbor Blvd, Weehawken NJ",Hartz Mountain Industries
RiverHouse 11,"1100 Ave at Port Imperial, Weehawken NJ",Veris Residential
RiverHouse 9,"900 Ave at Port Imperial, Weehawken NJ",Veris Residential
The Capstone,"17 Ave at Port Imperial, West New York NJ",Veris Residential
The Estuary,"Weehawken NJ",Hartz Mountain Industries
Hamilton Cove,"Weehawken NJ",Hartz Mountain Industries
RB3 / Riverbend 3,"West New York NJ",Canoe Brook Development
RiverTrace,"West New York NJ",Veris Residential
The Declan,"Weehawken NJ",Rockpoint / Canoe Brook
RiverParc,"Weehawken NJ",RHO Residential
RiversEdge,"Weehawken NJ",RHO Residential
Harbor 1500,"Weehawken NJ",Hartz Mountain / Maxal Group
Reserve at Estuary,"Weehawken NJ",Hartz Mountain Industries
The Grand,"508 51st St, West New York NJ",AIRN
55 Riverwalk Place,"West New York NJ",Aker Companies
Riverbend,"West New York NJ",Canoe Brook Development
Landings at Port Imperial,"West New York NJ",Equity Residential
The Gateway,"1700 Park Ave, Weehawken NJ",Rock Eagle Properties
The Duchess,"7601 River Rd, North Bergen NJ",Post Brothers
The Rail at North Bergen,"4828 Tonnelle Ave, North Bergen NJ",Denholtz Properties
The Mews,"1305 Paterson Plank Rd, North Bergen NJ",SYM Investments
Stonehenge on the Palisades,"8200 Boulevard East, North Bergen NJ",Milstein Properties
Half Moon Harbour,"7912 River Rd, North Bergen NJ",Private LLC / Greystar
Avalon North Bergen,"5665 Kennedy Blvd, North Bergen NJ",AvalonBay Communities
57 Eleven Kennedy,"5711 JFK Blvd, North Bergen NJ",5711 RE LLC
Plaza 53,"1122 53rd St, North Bergen NJ",Oxford Realty Group
Excel on the Hudson,"5701 Boulevard East, West New York NJ",Parkview Management
The Metro,"511-513 52nd St, West New York NJ",NRIA / AIRN
ICONIQ 777,"777 McCarter Hwy, Newark NJ",Boraie Development
Eleven80,"1180 Raymond Blvd, Newark NJ",Pacific Oak REIT
Walker House,"540 Broad St, Newark NJ",L+M Development Partners
One Theater Square,"2 Center St, Newark NJ",Dranoff Properties
Hoyt Tower,"50-54 Sussex Ave, Newark NJ",KS Group / Tona Development
50 Rector Park,"37-39 Rector St, Newark NJ",Boraie Development
Hahne & Co.,"50 Halsey St, Newark NJ",L+M Development Partners
Art of Newark,"44 Irvine Turner Blvd, Newark NJ",TAY Investments
Iron65,"65 McWhorter St, Newark NJ",Sterling / Bridgewater / New Rock
Fifty Five Union,"55 Union St, Newark NJ",J&L Companies
Vermella Broad Street,"355-365 Broad St, Newark NJ",Russo Development
Newark Urby,"155 Washington St, Newark NJ",L+M Development Partners
The Ballantine,"80 Freeman St, Newark NJ",Shorewood / Bridge Investment
Teachers Village,"243 Halsey St, Newark NJ",RBH Group
999 Broad,"999 Broad St, Newark NJ",RPM Development Group
Indigo Residence,"810 Broad St, Newark NJ",Baldwin Equities
Parq 930,"930 McCarter Hwy, Newark NJ",Boraie Development
The Halo,"289-301 Washington St, Newark NJ",Acier Holdings
Summit Tower,"200-208 Market St, Newark NJ",KS Group
ArtSide at NJPAC,"Center St / NJPAC, Newark NJ",NJPAC / LMXD
430-436 Market Street,"430-436 Market St, Newark NJ",David Weisz & Sons
22 Fulton Street,"22 Fulton St, Newark NJ",SK Development / Berger Org
Nova Towers,"16-38 William St, Newark NJ",KS Group
Mulberry Pointe,"315 Mulberry St, Newark NJ",KS Group / Giga Holdings
Iberia,"450-466 Market St, Newark NJ",Chess Builders
Arc Tower,"569-577 Broad St, Newark NJ",Oceanview Capital
The Metropolitan,"260-272 Washington St, Newark NJ",Hanini Group
CitiSquare,"450 Broad St, Newark NJ",Accurate Builders
Elleven by Gomes,"16-18 Oliver St, Newark NJ",The Gomes Group
Vermella Harrison,"1110 Frank E Rodgers Blvd S, Harrison NJ",Russo Development
Harrison Urby,"777 South Third St, Harrison NJ",Ironstate / Brookfield
Cobalt Lofts,"1200 South 5th St, Harrison NJ",Advance Realty / DeBartolo
Steel Works,"1200 Frank E Rodgers Blvd S, Harrison NJ",Advance Realty / DeBartolo
One Harrison,"1 Harrison Ave, Harrison NJ",BNE Real Estate / HornRock
Citizen Bayonne,"155 Goldsborough Dr, Bayonne NJ",Accurate Development
Skye Lofts North,"260 Avenue E, Bayonne NJ",Skye Development
Skye Lofts South,"250 Avenue E, Bayonne NJ",Skye Development
Lotus 315,"315 S Harrison St, East Orange NJ",Blackstone 360
Hue Soul,"431 MLK Jr Blvd, East Orange NJ",TAY Investments
Embark at The Crossings,"533 Main St, East Orange NJ",Triangle Equities / Incline
Essex & Crane,"377 Crane St, Orange NJ",Russo Development
Riello,"99 Gorge Rd, Edgewater NJ",Skylight Real Estate / PCCP
Infinity Edgewater,"340 Old River Rd, Edgewater NJ",Private developer
The Modern,"800 Park Ave, Fort Lee NJ",SJP Properties
Hudson Lights,"2030 Hudson St, Fort Lee NJ",Tucker Development
The Pinnacle,"69 Main St, Fort Lee NJ",BDE Equities
Modera Fort Lee,"55 Main St, Fort Lee NJ",Mill Creek Residential
The Centre,"1 Towne Center Dr, Cliffside Park NJ",Cliffside Park Towne Centre JV
Print House,"160 River St, Hackensack NJ",Hampshire / Russo Development
Ora,"321 Main St, Hackensack NJ",Hampshire / Russo Development
The Forte,"95 Anderson St, Hackensack NJ",Fouerti Realty
Reveal Hackensack,"414 Hackensack Ave, Hackensack NJ",Private owner
Premiere Residences,"7 Livingston Ave, New Brunswick NJ",Pennrose
The Vue,"110 Somerset St, New Brunswick NJ",Pennrose
Lofts at Princeton,"100 Lofts Dr, Princeton NJ",Garden Homes Development
10 West,"10 W Broadway, Long Beach NY",Inland Real Estate Group
The Breeze,"180 Boardwalk, Long Beach NY",B2K Development
Executive Towers at Lido,"854-860 E Broadway, Long Beach NY",Melville Management
Florent,"555 Stewart Ave, Garden City NY",Southern Land Company
Avalon Garden City,"998 Stewart Ave, Garden City NY",AvalonBay Communities
The Rockwell,"585 North Ave, New Rochelle NY",Young Companies
The Millennia,"20 Burling Ln, New Rochelle NY",ELD Properties
360 Huguenot,"360 Huguenot St, New Rochelle NY",RXR Realty / Brause
The Encore NR,"327 Huguenot St, New Rochelle NY",Cappelli Development
Sawyer Place,"45 Main St, Yonkers NY",RXR Realty
Apex Hudson Riverfront,"20 Water Grant St, Yonkers NY",Two Coast Living
Continuum,"57 Bank St, White Plains NY",LCOR
Everbend,"1202 Crescent Dr, Tarrytown NY",Rose Associates
The Mark at Mamaroneck,"746 Mamaroneck Ave, Mamaroneck NY",Harbor Group Management
Hudson Piers,"Alexander St, Yonkers NY",Extell Development
Hudson Park,"Downtown waterfront, Yonkers NY",Collins Enterprises / AJH
River Tides at Greystone,"Greystone area, Yonkers NY",Ginsburg Development
One City Place,"1 City Place, White Plains NY",Ginsburg Development
25 North Lex,"25 N Lexington Ave, White Plains NY",National Resources
Allen,"247 North Ave, New Rochelle NY",LCOR
3THIRTY3,"333 Huguenot St, New Rochelle NY",L+M Development Partners
Two Clinton Park,"Clinton Park, New Rochelle NY",RXR Realty
RXR Twin Towers,"South Division St, New Rochelle NY",RXR Realty
Harbor Point,"Various, Stamford CT",BLT
The Wescott,"Stamford CT",Private
Stamford Urby,"Stamford CT",Ironstate Development
